Seq,username,userID,gender,totalSpent,monthsSinceLastPurchase,totalNumberOfPurchases,monthsSinceFirstPurchase,firstName,lastName,userPass
116,user116,1002,0,196,2,2,6,Vincent,Shawn,user116Shawn1002
117,user117,1010,1,31,6,1,6,Kaleb,Braden,user117Braden1010
118,user118,1011,1,284,10,1,10,Kaden,Jonah,user118Jonah1011
119,user119,1012,1,268,14,2,18,Brady,Bradley,user119Bradley1012
120,user120,1048,1,189,12,1,12,Colton,Cesar,user120Cesar1048
121,user121,1054,0,74,32,2,36,Kenneth,Emmanuel,user121Emmanuel1054
122,user122,1075,1,145,16,2,22,Joel,Manuel,user122Manuel1075
123,user123,1076,0,139,30,2,34,Oscar,Edgar,user123Edgar1076
124,user124,1082,1,252,10,1,10,Josiah,Mario,user124Mario1082
125,user125,1087,1,60,34,1,34,Jorge,Erik,user125Erik1087
126,user126,1088,0,98,12,2,16,Ashton,Edwin,user126Edwin1088
127,user127,1093,1,263,12,8,58,Cooper,Johnathan,user127Johnathan1093
128,user128,1095,1,312,10,1,10,Tanner,Devon,user128Devon1095
129,user129,1101,1,257,2,1,2,Eduardo,Erick,user129Erick1101
130,user130,1103,1,205,4,2,6,Paul,Wesley,user130Wesley1103
131,user131,1119,1,285,22,1,22,Edward,Oliver,user131Oliver1119
132,user132,1121,1,122,4,1,4,Ivan,Trenton,user132Trenton1121
133,user133,1123,1,363,2,12,28,Preston,Hector,user133Hector1123
134,user134,1131,1,302,10,1,10,Maxwell,Malachi,user134Malachi1131
135,user135,1138,1,51,4,2,12,Alan,Jalen,user135Jalen1138
136,user136,1141,1,35,18,2,22,Levi,Raymond,user136Raymond1141
137,user137,1142,0,150,2,10,28,Stephen,Gregory,user137Gregory1142
138,user138,1149,1,136,6,1,6,Grant,Abraham,user138Abraham1149
139,user139,1151,1,244,32,1,32,Nicolas,Elias,user139Elias1151
140,user140,1160,1,64,32,1,32,Dakota,Leonardo,user140Leonardo1160
141,user141,1161,1,89,4,2,6,Omar,Sergio,user141Sergio1161
142,user142,1169,1,265,16,1,16,Alexis,Donovan,user142Donovan1169
143,user143,1170,0,163,14,1,14,George,Caden,user143Caden1170
144,user144,1172,1,216,14,2,20,Eli,Garrett,user144Garrett1172
145,user145,1185,1,283,14,9,46,Collin,Parker,user145Parker1185
146,user146,1195,1,294,14,2,22,Spencer,Marcus,user146Marcus1195
147,user147,1222,1,307,36,5,60,Gage,Vincent,user147Vincent1222
148,user148,1227,1,131,16,1,16,Max,Kaleb,user148Kaleb1227
149,user149,1230,1,359,18,9,48,Ricardo,Kaden,user149Kaden1230
150,user150,1238,0,101,14,4,26,Cristian,Brady,user150Brady1238
151,user151,1248,1,246,18,1,18,Derek,Colton,user151Colton1248
152,user152,1253,0,285,12,2,14,Micah,Kenneth,user152Kenneth1253
153,user153,1261,1,157,26,1,26,Brody,Joel,user153Joel1261
154,user154,1263,1,120,8,5,24,Francisco,Oscar,user154Oscar1263
155,user155,1283,1,217,14,2,20,Nolan,Josiah,user155Josiah1283
156,user156,1300,1,200,4,9,30,Ayden,Jorge,user156Jorge1300
157,user157,1313,1,100,12,4,32,Dalton,Ashton,user157Ashton1313
158,user158,1319,1,309,4,11,40,Shane,Cooper,user158Cooper1319
159,user159,1323,0,354,6,10,56,Peter,Tanner,user159Tanner1323
160,user160,1329,1,163,2,1,2,Damian,Eduardo,user160Eduardo1329
161,user161,1333,1,66,12,2,20,Jeffrey,Paul,user161Paul1333
162,user162,1352,1,169,16,4,34,Brendan,Edward,user162Edward1352
163,user163,1353,1,224,4,1,4,Travis,Ivan,user163Ivan1353
164,user164,1357,0,222,16,2,20,Fernando,Preston,user164Preston1357
165,user165,1364,1,477,20,12,68,Peyton,Maxwell,user165Maxwell1364
166,user166,1366,1,143,10,1,10,Conner,Alan,user166Alan1366
167,user167,1371,1,295,32,2,40,Andres,Levi,user167Levi1371
168,user168,1392,1,69,2,1,2,Javier,Stephen,user168Stephen1392
169,user169,1394,1,275,8,10,62,Giovanni,Grant,user169Grant1394
170,user170,1406,1,54,12,3,24,Shawn,Nicolas,user170Nicolas1406
171,user171,1411,0,201,34,6,54,Braden,Dakota,user171Dakota1411
172,user172,1442,1,149,8,1,8,Jonah,Omar,user172Omar1442
173,user173,1455,1,364,14,8,54,Bradley,Alexis,user173Alexis1455
174,user174,1474,0,86,14,5,40,Cesar,George,user174George1474
175,user175,1484,1,151,12,4,34,Emmanuel,Eli,user175Eli1484
176,user176,1486,1,229,8,2,12,Manuel,Collin,user176Collin1486
177,user177,1494,1,227,2,9,42,Edgar,Spencer,user177Spencer1494
178,user178,1496,1,246,6,1,6,Mario,Gage,user178Gage1496
179,user179,1505,1,43,10,2,16,Erik,Max,user179Max1505
180,user180,1515,1,158,12,2,14,Edwin,Ricardo,user180Ricardo1515
181,user181,1518,0,327,16,2,24,Johnathan,Cristian,user181Cristian1518
182,user182,1521,1,164,2,3,16,Devon,Derek,user182Derek1521
183,user183,1526,0,158,6,9,56,Erick,Micah,user183Micah1526
184,user184,1529,0,206,10,2,16,Wesley,Brody,user184Brody1529
185,user185,1530,1,319,4,2,10,Oliver,Francisco,user185Francisco1530
186,user186,1531,0,39,10,1,10,Trenton,Nolan,user186Nolan1531
187,user187,1543,1,295,6,2,14,Hector,Ayden,user187Ayden1543
188,user188,1552,1,178,14,1,14,Emily,Dalton,user188Dalton1552
189,user189,1554,1,128,32,5,48,Madison,Shane,user189Shane1554
190,user190,1577,1,311,2,9,34,Emma,Peter,user190Peter1577
191,user191,1610,0,391,8,9,48,Olivia,Damian,user191Damian1610
192,user192,1641,0,88,18,2,22,Hannah,Jeffrey,user192Jeffrey1641
193,user193,1652,1,97,2,2,10,Abigail,Brendan,user193Brendan1652
194,user194,1671,0,250,12,12,36,Isabella,Travis,user194Travis1671
195,user195,1672,1,102,2,1,2,Samantha,Fernando,user195Fernando1672
196,user196,1685,1,273,14,2,20,Elizabeth,Peyton,user196Peyton1685
197,user197,1690,1,362,14,5,42,Ashley,Conner,user197Conner1690
198,user198,1705,0,271,12,2,14,Alexis,Andres,user198Andres1705
199,user199,1740,0,24,8,1,8,Sarah,Javier,user199Javier1740
200,user200,1741,1,280,14,2,22,Sophia,Giovanni,user200Giovanni1741
201,user201,1748,1,203,18,1,18,Alyssa,Shawn,user201Shawn1748
202,user202,1749,1,304,16,2,18,Grace,Braden,user202Braden1749
203,user203,1766,0,164,12,3,24,Ava,Jonah,user203Jonah1766
204,user204,1784,1,32,12,1,12,Taylor,Bradley,user204Bradley1784
205,user205,1785,1,178,30,2,34,Brianna,Cesar,user205Cesar1785
206,user206,1788,1,130,12,1,12,Lauren,Emmanuel,user206Emmanuel1788
207,user207,1796,0,177,30,9,76,Chloe,Manuel,user207Manuel1796
208,user208,1799,1,90,10,2,14,Natalie,Edgar,user208Edgar1799
209,user209,1805,1,292,14,1,14,Kayla,Mario,user209Mario1805
210,user210,1813,1,226,2,1,2,Jessica,Erik,user210Erik1813
211,user211,1815,1,73,12,2,18,Anna,Edwin,user211Edwin1815
212,user212,1817,0,123,4,2,10,Victoria,Johnathan,user212Johnathan1817
213,user213,1825,1,432,12,11,76,Mia,Devon,user213Devon1825
214,user214,1837,1,218,22,1,22,Hailey,Erick,user214Erick1837
215,user215,1838,1,448,12,12,48,Sydney,Wesley,user215Wesley1838
216,user216,1844,1,37,16,2,22,Jasmine,Oliver,user216Oliver1844
217,user217,1845,1,246,6,9,40,Julia,Trenton,user217Trenton1845
218,user218,1846,0,200,8,3,24,Morgan,Hector,user218Hector1846
219,user219,1858,1,220,16,3,24,Destiny,Malachi,user219Malachi1858
220,user220,1878,0,238,24,1,24,Rachel,Jalen,user220Jalen1878
221,user221,1886,0,152,16,9,66,Ella,Raymond,user221Raymond1886
222,user222,1889,1,361,6,6,36,Kaitlyn,Gregory,user222Gregory1889
223,user223,1923,0,60,14,4,32,Megan,Abraham,user223Abraham1923
224,user224,1941,0,438,12,11,76,Katherine,Elias,user224Elias1941
225,user225,1960,1,58,2,1,2,Savannah,Leonardo,user225Leonardo1960
226,user226,1962,0,61,10,3,20,Jennifer,Sergio,user226Sergio1962
227,user227,1977,1,194,14,2,22,Alexandra,Donovan,user227Donovan1977
228,user228,1984,1,239,8,1,8,Allison,Colby,user228Colby1984
229,user229,2020,1,68,16,1,16,Haley,Marco,user229Marco2020
230,user230,2046,1,88,16,1,16,Maria,Bryson,user230Bryson2046
231,user231,2052,1,300,14,1,14,Kaylee,Martin,user231Martin2052
232,user232,2062,0,363,14,7,42,Lily,Jackson,user232Jackson2062
233,user233,2065,1,234,10,1,10,Makayla,Angel,user233Angel2065
234,user234,2068,1,191,6,1,6,Brooke,Isaiah,user234Isaiah2068
235,user235,2073,1,178,26,2,28,Nicole,Evan,user235Evan2073
236,user236,2074,1,146,10,1,10,Mackenzie,Isaac,user236Isaac2074
237,user237,2079,0,374,36,11,66,Addison,Luke,user237Luke2079
238,user238,2081,0,109,14,2,20,Stephanie,Mason,user238Mason2081
239,user239,2096,1,120,14,1,14,Lillian,Jayden,user239Jayden2096
240,user240,2099,1,210,16,1,16,Andrea,Jason,user240Jason2099
241,user241,2108,0,282,14,2,18,Faith,Gavin,user241Gavin2108
242,user242,2119,1,260,32,1,32,Zoe,Aaron,user242Aaron2119
243,user243,2121,1,340,12,6,30,Kimberly,Connor,user243Connor2121
244,user244,2124,1,441,10,12,72,Madeline,Aiden,user244Aiden2124
245,user245,2171,0,95,8,2,12,Alexa,Aidan,user245Aidan2171
246,user246,2172,0,34,10,2,16,Katelyn,Kyle,user246Kyle2172
247,user247,2183,1,125,32,1,32,Gabriella,Juan,user247Juan2183
248,user248,2184,1,329,14,3,24,Gabrielle,Charles,user248Charles2184
249,user249,2185,1,79,16,1,16,Trinity,Luis,user249Luis2185
250,user250,2198,1,96,26,2,28,Amanda,Adam,user250Adam2198
251,user251,2203,1,173,20,2,28,Kylie,Lucas,user251Lucas2203
252,user252,2204,1,364,16,8,60,Mary,Brian,user252Brian2204
253,user253,2213,0,212,16,5,38,Paige,Eric,user253Eric2213
254,user254,2226,1,124,16,2,22,Riley,Adrian,user254Adrian2226
255,user255,2227,1,167,18,5,32,Leah,Nathaniel,user255Nathaniel2227
256,user256,2238,1,80,12,1,12,Jenna,Sean,user256Sean2238
257,user257,2245,1,318,8,2,10,Sara,Alex,user257Alex2245
258,user258,2253,1,260,12,1,12,Rebecca,Carlos,user258Carlos2253
259,user259,2262,0,148,6,4,20,Michelle,Bryan,user259Bryan2262
260,user260,2263,0,243,4,1,4,Sofia,Ian,user260Ian2263
261,user261,2268,0,40,22,1,22,Vanessa,Owen,user261Owen2268
262,user262,2294,1,121,12,5,32,Jordan,Jesus,user262Jesus2294
263,user263,2296,1,384,10,8,46,Angelina,Landon,user263Landon2296
264,user264,2299,1,90,10,5,38,Caroline,Julian,user264Julian2299
265,user265,2304,1,107,14,6,36,Avery,Chase,user265Chase2304
266,user266,2313,1,53,12,2,14,Audrey,Cole,user266Cole2313
267,user267,2324,1,232,10,1,10,Evelyn,Diego,user267Diego2324
268,user268,2339,0,329,16,5,36,Maya,Jeremiah,user268Jeremiah2339
269,user269,2341,0,90,12,3,26,Claire,Steven,user269Steven2341
270,user270,2342,1,192,34,6,52,Autumn,Sebastian,user270Sebastian2342
271,user271,2376,0,419,14,12,50,Jocelyn,Xavier,user271Xavier2376
272,user272,2377,1,153,10,1,10,Ariana,Timothy,user272Timothy2377
273,user273,2382,1,305,16,8,60,Nevaeh,Carter,user273Carter2382
274,user274,2383,1,218,14,8,48,Arianna,Wyatt,user274Wyatt2383
275,user275,2385,1,33,2,1,2,Jada,Brayden,user275Brayden2385
276,user276,2392,0,135,16,4,26,Bailey,Blake,user276Blake2392
277,user277,2394,1,320,6,2,12,Brooklyn,Hayden,user277Hayden2394
278,user278,2431,1,174,16,2,22,Aaliyah,Devin,user278Devin2431
279,user279,2435,1,285,6,9,56,Amber,Cody,user279Cody2435
280,user280,2471,0,208,4,2,8,Isabel,Richard,user280Richard2471
281,user281,2473,1,45,26,2,34,Mariah,Seth,user281Seth2473
282,user282,2475,0,77,8,1,8,Danielle,Dominic,user282Dominic2475
283,user283,2503,0,90,10,2,14,Melanie,Jaden,user283Jaden2503
284,user284,2505,1,297,8,7,22,Sierra,Antonio,user284Antonio2505
285,user285,2506,1,347,10,6,28,Erin,Miguel,user285Miguel2506
286,user286,2508,1,188,36,6,62,Amelia,Liam,user286Liam2508
287,user287,2523,1,252,2,1,2,Molly,Patrick,user287Patrick2523
288,user288,2527,0,415,16,12,68,Isabelle,Carson,user288Carson2527
289,user289,2532,1,146,14,2,18,Melissa,Jesse,user289Jesse2532
290,user290,2536,1,142,4,2,6,Madelyn,Tristan,user290Tristan2536
291,user291,2541,1,232,26,2,30,Jacqueline,Alejandro,user291Alejandro2541
292,user292,2591,0,326,22,4,38,Marissa,Henry,user292Henry2591
293,user293,2594,1,131,8,6,30,Angela,Victor,user293Victor2594
294,user294,2603,0,166,16,1,16,Shelby,Trevor,user294Trevor2603
295,user295,2604,1,44,16,2,18,Leslie,Bryce,user295Bryce2604
296,user296,2624,1,159,34,1,34,Katie,Jake,user296Jake2624
297,user297,2641,0,210,34,1,34,Jade,Riley,user297Riley2641
298,user298,2649,1,143,10,1,10,Catherine,Colin,user298Colin2649
299,user299,2660,0,212,10,1,10,Diana,Jared,user299Jared2660
300,user300,2668,1,201,32,1,32,Aubrey,Jeremy,user300Jeremy2668
301,user301,2673,1,110,10,6,28,Mya,Mark,user301Mark2673
302,user302,2676,1,18,16,1,16,Amy,Caden,user302Caden2676
303,user303,2684,1,267,16,2,18,Briana,Garrett,user303Garrett2684
304,user304,2687,1,38,4,1,4,Sophie,Parker,user304Parker2687
305,user305,2699,1,284,10,5,20,Gabriela,Marcus,user305Marcus2699
306,user306,2707,1,332,12,10,48,Breanna,Vincent,user306Vincent2707
307,user307,2726,1,124,4,1,4,Gianna,Kaleb,user307Kaleb2726
308,user308,2727,0,192,12,1,12,Kennedy,Kaden,user308Kaden2727
309,user309,2731,1,267,12,6,38,Gracie,Brady,user309Brady2731
310,user310,2739,1,324,10,2,14,Peyton,Colton,user310Colton2739
311,user311,2761,1,199,4,10,34,Adriana,Kenneth,user311Kenneth2761
312,user312,2771,0,356,4,6,22,Christina,Joel,user312Joel2771
313,user313,2773,1,475,4,12,52,Courtney,Oscar,user313Oscar2773
314,user314,2798,1,258,14,2,18,Daniela,Josiah,user314Josiah2798
315,user315,2812,0,268,12,7,46,Lydia,Jorge,user315Jorge2812
316,user316,2819,1,101,10,2,18,Kathryn,Ashton,user316Ashton2819
317,user317,2828,1,238,8,4,28,Valeria,Cooper,user317Cooper2828
318,user318,2829,1,305,14,8,56,Layla,Tanner,user318Tanner2829
319,user319,2830,0,269,12,1,12,Alexandria,Eduardo,user319Eduardo2830
320,user320,2846,1,240,12,1,12,Natalia,Paul,user320Paul2846
321,user321,2847,1,218,24,2,30,Angel,Edward,user321Edward2847
322,user322,2851,0,155,30,6,44,Laura,Ivan,user322Ivan2851
323,user323,2859,0,285,10,1,10,Charlotte,Preston,user323Preston2859
324,user324,2873,1,317,14,9,64,Margaret,Maxwell,user324Maxwell2873
325,user325,2875,0,361,16,11,80,Cheyenne,Alan,user325Alan2875
326,user326,2889,1,370,10,8,50,Naomi,Levi,user326Levi2889
327,user327,2891,0,339,8,7,46,Miranda,Stephen,user327Stephen2891
328,user328,2901,0,48,10,1,10,Mikayla,Grant,user328Grant2901
329,user329,2904,0,169,14,3,24,Kelsey,Nicolas,user329Nicolas2904
330,user330,2907,1,75,4,2,10,Payton,Dakota,user330Dakota2907
331,user331,2924,0,133,16,3,26,Ana,Omar,user331Omar2924
332,user332,2927,1,330,14,6,34,Alicia,Alexis,user332Alexis2927
333,user333,2934,0,102,8,5,26,Jillian,George,user333George2934
334,user334,2959,1,311,10,1,10,Daisy,Eli,user334Eli2959
335,user335,2974,1,316,16,3,30,Mckenzie,Collin,user335Collin2974
336,user336,2981,1,230,2,12,32,Ashlyn,Spencer,user336Spencer2981
337,user337,2990,1,246,34,2,40,Sabrina,Gage,user337Gage2990
338,user338,2993,0,219,10,6,28,Caitlin,Max,user338Max2993
339,user339,3008,1,127,4,2,6,Summer,Ricardo,user339Ricardo3008
340,user340,3012,1,256,16,4,36,Ruby,Cristian,user340Cristian3012
341,user341,3014,0,369,16,6,40,Valerie,Derek,user341Derek3014
342,user342,3016,1,269,32,1,32,Rylee,Micah,user342Micah3016
343,user343,3024,1,248,16,7,44,Skylar,Brody,user343Brody3024
344,user344,3030,1,293,18,9,42,Lindsey,Francisco,user344Francisco3030
345,user345,3043,1,211,28,1,28,Kelly,Nolan,user345Nolan3043
346,user346,3047,1,82,16,3,26,Genesis,Ayden,user346Ayden3047
347,user347,3048,0,304,20,2,22,Zoey,Dalton,user347Dalton3048
348,user348,3054,1,177,8,1,8,Eva,Shane,user348Shane3054
349,user349,3055,0,248,16,8,38,Sadie,Peter,user349Peter3055
350,user350,3057,1,86,6,1,6,Alexia,Damian,user350Damian3057
351,user351,3058,1,149,16,2,18,Cassidy,Jeffrey,user351Jeffrey3058
352,user352,3067,0,158,32,2,34,Kylee,Brendan,user352Brendan3067
353,user353,3069,1,212,32,2,38,Kendall,Travis,user353Travis3069
354,user354,3072,1,422,18,9,56,Jordyn,Fernando,user354Fernando3072
355,user355,3073,1,277,14,2,20,Kate,Peyton,user355Peyton3073
356,user356,3078,1,222,10,2,14,Jayla,Conner,user356Conner3078
357,user357,3093,0,177,10,1,10,Karen,Andres,user357Andres3093
358,user358,3094,0,230,2,1,2,Tiffany,Javier,user358Javier3094
359,user359,3099,0,248,34,7,52,Cassandra,Giovanni,user359Giovanni3099
360,user360,3102,0,24,8,1,8,Juliana,Shawn,user360Shawn3102
361,user361,3105,1,130,2,2,8,Reagan,Braden,user361Braden3105
362,user362,3107,1,34,2,1,2,Caitlyn,Jonah,user362Jonah3107
363,user363,3138,1,145,4,2,12,Giselle,Bradley,user363Bradley3138
364,user364,3153,1,121,26,1,26,Serenity,Cesar,user364Cesar3153
365,user365,3155,1,424,10,11,64,Alondra,Emmanuel,user365Emmanuel3155
366,user366,3159,1,233,10,1,10,Lucy,Manuel,user366Manuel3159
367,user367,3196,1,221,10,2,12,Bianca,Edgar,user367Edgar3196
368,user368,3231,1,287,6,9,38,Kiara,Mario,user368Mario3231
369,user369,3233,1,206,16,2,24,Crystal,Erik,user369Erik3233
370,user370,3241,0,148,6,1,6,Erica,Edwin,user370Edwin3241
371,user371,3244,1,345,6,5,20,Angelica,Johnathan,user371Johnathan3244
372,user372,3251,0,173,14,2,20,Hope,Devon,user372Devon3251
373,user373,3256,1,240,16,11,76,Chelsea,Erick,user373Erick3256
374,user374,3270,1,223,10,6,24,Alana,Wesley,user374Wesley3270
375,user375,3293,0,74,4,2,6,Liliana,Oliver,user375Oliver3293
376,user376,3308,1,246,10,8,32,Brittany,Trenton,user376Trenton3308
377,user377,3309,0,148,16,1,16,Camila,Hector,user377Hector3309
378,user378,3329,1,54,8,1,8,Makenzie,Malachi,user378Malachi3329
379,user379,3338,1,189,14,1,14,Lilly,Jalen,user379Jalen3338
380,user380,3340,1,26,16,1,16,Veronica,Raymond,user380Raymond3340
381,user381,3367,1,99,4,1,4,Abby,Gregory,user381Gregory3367
382,user382,3369,0,249,14,8,40,Jazmin,Abraham,user382Abraham3369
383,user383,3375,1,137,16,1,16,Adrianna,Elias,user383Elias3375
384,user384,3377,0,221,2,8,20,Delaney,Leonardo,user384Leonardo3377
385,user385,3407,1,180,4,2,6,Karina,Sergio,user385Sergio3407
386,user386,3412,0,404,28,11,88,Ellie,Donovan,user386Donovan3412
387,user387,3471,1,329,12,2,14,Jasmin,Colby,user387Colby3471
388,user388,3493,1,198,26,2,30,Shawn,Marco,user388Marco3493
389,user389,3504,1,252,14,1,14,Braden,Bryson,user389Bryson3504
